epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
22,night,traffic sign,0.6742,0.6387,0.6559,0.665,0.3543
22,night,truck,0.6073,0.4765,0.534,0.4657,0.336
23,day,bike,0.5819,0.395,0.4706,0.465,0.2392
23,day,bus,0.721,0.4803,0.5765,0.533,0.4163
23,day,car,0.7909,0.7327,0.7607,0.7875,0.5162
23,day,motor,0.6169,0.3969,0.4831,0.4342,0.2115
23,day,person,0.6911,0.5733,0.6267,0.6183,0.3199
23,day,rider,0.7035,0.3688,0.4839,0.432,0.2262
23,day,traffic light,0.7239,0.5658,0.6352,0.625,0.2641
23,day,traffic sign,0.6955,0.5714,0.6273,0.6154,0.3333
23,day,truck,0.6155,0.5367,0.5734,0.55,0.4028
23,night,bike,0.4987,0.4855,0.492,0.4524,0.251
23,night,bus,0.5806,0.4529,0.5089,0.4764,0.3693
23,night,car,0.6998,0.7183,0.7089,0.7493,0.4327
23,night,motor,0.6049,0.3462,0.4403,0.3763,0.1681
23,night,person,0.6583,0.5201,0.5811,0.5697,0.275
23,night,rider,0.5409,0.4149,0.4696,0.4321,0.2195
23,night,traffic light,0.6418,0.5687,0.603,0.561,0.1917
23,night,traffic sign,0.6938,0.6444,0.6682,0.6784,0.3639
23,night,truck,0.6245,0.5124,0.5629,0.5092,0.3698
24,day,bike,0.5516,0.4027,0.4655,0.4659,0.2328
24,day,bus,0.6957,0.4922,0.5765,0.5389,0.4225
24,day,car,0.7938,0.7342,0.7628,0.7878,0.5161
24,day,motor,0.6086,0.4122,0.4915,0.4079,0.1954
24,day,person,0.6799,0.578,0.6248,0.6164,0.3196
24,day,rider,0.7236,0.3798,0.4981,0.4415,0.2336
24,day,traffic light,0.723,0.5693,0.637,0.6251,0.2645
24,day,traffic sign,0.6943,0.5743,0.6286,0.6157,0.3336
24,day,truck,0.6163,0.5433,0.5775,0.5556,0.4044
24,night,bike,0.5887,0.4881,0.5337,0.4674,0.2505
24,night,bus,0.6023,0.4394,0.5081,0.4747,0.3689
24,night,car,0.7673,0.6822,0.7223,0.7485,0.4325
24,night,motor,0.6931,0.3654,0.4785,0.3873,0.1863
24,night,person,0.7146,0.5017,0.5895,0.5715,0.2785
24,night,rider,0.6358,0.418,0.5044,0.4345,0.2243
24,night,traffic light,0.6962,0.5163,0.5929,0.5633,0.1924
24,night,traffic sign,0.7501,0.5948,0.6635,0.6784,0.3627
24,night,truck,0.6354,0.4874,0.5516,0.5012,0.3624
25,day,bike,0.5765,0.395,0.4688,0.458,0.2375
25,day,bus,0.697,0.499,0.5816,0.5332,0.4203
