epoch,time_of_day,class_name,precision,recall,f1,ap50,ap50_95
21,night,person,0.6439,0.4303,0.5159,0.4938,0.2307
21,night,rider,0.5274,0.2958,0.379,0.3249,0.1579
21,night,traffic light,0.678,0.4425,0.5355,0.5034,0.162
21,night,traffic sign,0.7215,0.5436,0.62,0.6159,0.3161
21,night,truck,0.5919,0.4689,0.5233,0.4684,0.3278
22,day,bike,0.6392,0.3737,0.4716,0.4123,0.196
22,day,bus,0.6266,0.4327,0.5119,0.4667,0.3695
22,day,car,0.7768,0.6773,0.7237,0.7378,0.4714
22,day,motor,0.6466,0.2443,0.3546,0.3024,0.1606
22,day,person,0.6727,0.4817,0.5614,0.533,0.26
22,day,rider,0.7704,0.2955,0.4272,0.3632,0.1942
22,day,traffic light,0.6866,0.4465,0.5411,0.5131,0.2063
22,day,traffic sign,0.6649,0.4778,0.556,0.5191,0.2716
22,day,truck,0.6145,0.4806,0.5394,0.4884,0.3466
22,night,bike,0.4551,0.369,0.4076,0.3872,0.2112
22,night,bus,0.5135,0.4568,0.4835,0.4272,0.3238
22,night,car,0.7316,0.6456,0.6859,0.709,0.4003
22,night,motor,0.609,0.2885,0.3915,0.2876,0.1173
22,night,person,0.6457,0.4263,0.5135,0.4852,0.226
22,night,rider,0.5654,0.2394,0.3364,0.2651,0.1389
22,night,traffic light,0.6558,0.4629,0.5427,0.4948,0.1611
22,night,traffic sign,0.6837,0.5697,0.6215,0.6095,0.3125
22,night,truck,0.6033,0.4262,0.4995,0.4446,0.3127
23,day,bike,0.5978,0.3843,0.4679,0.4178,0.2013
23,day,bus,0.6666,0.4389,0.5293,0.4842,0.382
23,day,car,0.7656,0.688,0.7248,0.7426,0.4774
23,day,motor,0.5984,0.2844,0.3856,0.3337,0.1658
23,day,person,0.6786,0.4908,0.5696,0.543,0.2634
23,day,rider,0.6726,0.33,0.4428,0.365,0.1906
23,day,traffic light,0.7093,0.4527,0.5527,0.5274,0.2134
23,day,traffic sign,0.7005,0.4646,0.5587,0.5301,0.2789
23,day,truck,0.6063,0.5004,0.5483,0.5015,0.3596
23,night,bike,0.5113,0.369,0.4287,0.4244,0.2305
23,night,bus,0.5195,0.4136,0.4605,0.4285,0.3349
23,night,car,0.6968,0.6768,0.6867,0.7188,0.4085
23,night,motor,0.6549,0.3285,0.4375,0.3857,0.1708
23,night,person,0.6462,0.4598,0.5373,0.4985,0.2341
23,night,rider,0.5949,0.3099,0.4075,0.2906,0.1515
23,night,traffic light,0.6442,0.4846,0.5531,0.5073,0.1646
23,night,traffic sign,0.6965,0.5682,0.6259,0.6213,0.3196
23,night,truck,0.6013,0.4571,0.5194,0.4755,0.343
24,day,bike,0.5894,0.3843,0.4653,0.4061,0.2015
24,day,bus,0.645,0.4369,0.5209,0.4835,0.3796
24,day,car,0.7849,0.6805,0.7289,0.7445,0.4784
24,day,motor,0.5254,0.2824,0.3674,0.2998,0.1598
24,day,person,0.6859,0.4908,0.5722,0.5485,0.2665
24,day,rider,0.6724,0.3472,0.4579,0.3732,0.1959
24,day,traffic light,0.7114,0.4599,0.5587,0.5317,0.2144
24,day,traffic sign,0.7084,0.4649,0.5613,0.5333,0.2798
24,day,truck,0.6106,0.5045,0.5525,0.5036,0.3593
24,night,bike,0.5657,0.4286,0.4877,0.446,0.2369
24,night,bus,0.5306,0.4117,0.4636,0.4292,0.3321
24,night,car,0.7228,0.6632,0.6917,0.7185,0.4083
24,night,motor,0.581,0.3466,0.4342,0.3685,0.1608
24,night,person,0.6515,0.4564,0.5368,0.5044,0.2359
24,night,rider,0.5589,0.3521,0.4321,0.3154,0.1611
24,night,traffic light,0.6555,0.4762,0.5517,0.5081,0.1652
24,night,traffic sign,0.7173,0.5586,0.6281,0.6232,0.3206
24,night,truck,0.6142,0.4394,0.5123,0.4625,0.3315
25,day,bike,0.6229,0.3879,0.4781,0.4166,0.2035
25,day,bus,0.7182,0.4327,0.5401,0.4886,0.3832
25,day,car,0.7853,0.678,0.7277,0.7417,0.4786
